EN	JA	備考	frequency
absent	無い、存在しない		7
accent	アクセント		2
accented	アクセントつきの		1
accept	受け付ける、受理する		4
access			10
accessible	アクセス可能		3
accommodate	収容する		1
accord	according to 〜に応じて		2
accordingly	応じて、対応して		1
accurately	正確に		1
act	振る舞う		9
actual	実際の		7
add			11
addition	追加		6
additional	追加の		10
additionally	加えて		4
address			18
addressability	アドレス可能性		1
addressable	アドレス可能		10
adjust	調整する		2
advance			2
affect	に影響する		1
alert		訳さない	1
alias	別名		11
align	揃える		1
alignment	揃えること		6
all			89
allocate	割り当てる		9
allocation	割当		1
allow	許可する、可能にする		6
alone			1
already			4
also			31
alternation	〔二者間の〕交代		1
alternative	代わりのもの、選択肢		4
always			20
ambiguity	曖昧さ		5
analysis	解析		3
analyze	分析する、解析する		1
and			5
anew			1
annotate	注釈のついた		1
anonymous	無名		3
anywhere	どこでも		4
appear	現れる		27
append			4
apply	適用する		37
approximately	およそ		1
arbitrary	任意の		6
arbitrarytype	任意型		4
architecture			3
architecture-independent	アーキテクチャに依存しない		1
argument	実引数		139
arise			2
arithmetic	算術		6
array	配列		98
ascii			1
assemble			1
assembly			1
assert			3
assertion	アサーション		10
assign	代入する		25
assignability	代入可能性		1
assignable	代入可能		21
assignment	代入		33
assignments	代入	バグ？	1
assist			2
associate	結びつける、関連付ける		4
associated	関連付けられた		7
associativity	結合性		2
assume	仮定する、想定する		3
assumption	仮定、想定		1
attempt			3
attribute			1
automatic	自動の		1
automatically	自動的に		3
available			2
avoid	避ける、回避する		2
back			4
backslash			8
backspace			1
backus-naur	バッカス・ナウア (考案者のジョン・バッカスさんとピーター・ナウアさん）		1
backward			1
base	基となる、基底(の)		21
basic	基本的な、基礎的な		4
be			22
become			1
begin			11
behave	振る舞う		1
behavior	振る舞い		5
bell			1
belong			7
bidirectional	双方向の		3
binary	２進数		8
bind	束ねる/くっつける		21
binding			1
bit			11
bitwise	bitに関する		7
blank	"_"		18
block	ブロック、ブロックする		12
blocks			2
body			12
bool			1
boolean	真偽の		30
bootstrap			1
bootstrapping			1
bound	制限する、結び付けられて		2
brace	括弧		4
brace-bound			1
bracket			4
branch	枝、分岐		6
break			9
buffer			9
build			1
built-in	組み込みの		34
byte			19
byte-wise			1
calculate	計算する		1
call	呼び出し		95
callable			2
caller	呼び出し側		6
calling			7
camelcase	キャメルケース		1
cannot			21
canonicalized	正規化する		1
cap		訳さない	1
capacity	容量		26
carriage			3
carry		訳さない	2
case		訳さない	13
category			5
cause	起こす		16
certain			4
chan		訳さない	4
change		訳さない	8
channel		訳さない	3
channels			7
character	文字		43
choice			1
choose		訳さない	4
circumstance			1
class	分類		3
clause	句、節		26
clear		訳さない	1
close			5
closed			5
closing			3
closure			1
collectively			2
combine	合体する、組み合わせる		5
come			2
comma			1
comment			8
common			1
communicate	通信する		1
communication	通信		14
compact	コンパクト		1
comparable	比較可能		20
compare	比較する		14
comparison	比較		14
compatibility	互換性		3
compile			1
compile-time			2
compiler			14
complement			3
complete	完全な		8
completely	完全に		1
completeness			1
complex	複素数、複文の		43
complex128		訳さない	3
complex64		訳さない	3
complext		訳さない	1
component	構成要素		5
compose	構成する		4
composite	複合		19
computation	計算		1
compute	計算する		7
computer			1
concatenate	連結（する）		3
concatenation	結合、連接		2
concrete	具体的な/具象的な		2
concurrent	並行		3
concurrently	並行して		2
condition	条件		22
conditional	条件付き、条件的		3
conditionally			1
conflict			1
consequence	結果		2
consequently	結果として		2
consider	考える、みなす		16
consideration	考慮		1
consist	構成される		7
consisting	of 〜、〜で構成される		3
const		訳さない	1
constant	定数		175
constituent	構成要素		1
constrain			1
constraint	制約		36
construct	作る、構成体		15
construction	構築		5
constspec			4
contain	含む		48
content			2
context	文脈、背景		7
contiguous			1
continue			6
contrast	対比する、対比		2
control	制御する		11
convenience			3
conventional	慣習的		1
conversion	変換		23
convert	変換する		36
copy			7
core			36
correct			2
correspond	照応する		3
corresponding	対応する		36
cost			1
count			4
create			17
creation			1
curly			1
current			4
cycle			1
cyclic	循環的		1
data			2
decimal	10進数		11
declaration	宣言		92
declare	宣言する		64
decrement	減少する、させる		2
deduce	推論する、推定する		1
default		訳さない	4
defer			7
deferred	遅延実行された		15
define	定義する		46
definition	定義		15
delete			1
deletion			1
deliver			1
denote	指す、示す、表す		41
depend	依存する		10
dependency	依存、依存関係		10
depth			6
dereference	デリファレンス		1
dereferenced	デリファレンスされた		1
derive	派生する		3
describe	記述する		5
descriptor	記述子		1
design	設計（する）		1
destination	行き先、目的地		3
detail			1
determine	決定する		8
deterministically	決定論的に		1
development	開発		1
differ			3
difference	減算、差異		1
different			24
differently			1
digit	数字、数値		18
direct			1
direction	方向		8
directional	単方向の、有向の		3
directly	直接		5
directory			1
disallow	許可しない		5
disassemble	分解する		1
discard	捨てる		7
discover			5
discuss			2
discussion			1
disjoint	[数学] 素集合、交わりを持たない		1
disregard	無視する、考慮しない		1
distinct	区別された/独立した		14
divide	割る、分割する		1
dividend			2
division			4
divisor			4
do			38
document	文書		4
documentation	文書		1
double	2倍にする		4
due			3
duplicate			2
dynamic	動的		13
dynamically			1
earli			2
earlier			2
easy			1
ebnf	拡張バッカスナウア記法		1
effect			4
efficient	効率のよい		1
element	要素		134
elementary	初歩的な		1
elide	省略する		7
ellipsis	省略記号(...)		1
else			6
elsewhere			2
embed	埋め込む		7
embedded	埋め込まれた、組み込みの		13
embeddedfield			1
empty	空の		30
enable			2
enclose	囲う		8
encode	符号化する		4
encoding			2
encompass			1
encounter	出会う		1
encourage	推奨する		1
end			21
enforce	強制する、遵守させる		1
enough			2
ensure	保証する		2
enter			1
entire			2
entirely			3
entity	実体、存在物		3
entry	項目		27
enumeration	列挙、目録		1
environment	環境		1
equal	等しい		25
equality	同一性、等式		2
equivalent	等価		27
erroneous	誤った、間違いの		2
erroneously	誤って		1
error			18
escape			10
evaluate	評価する		46
evaluation	評価		10
even			9
event			1
exact			2
exactly	正確に		12
example			28
except	を除いて		12
exception	例外		7
exclude	除外する		2
excluding	除外する		1
execute	実行する		29
execution	実行		30
exist			7
exit			1
exp			2
explicit	明示的な		20
explicitly	明示的に		9
exploit	不当に利用する		1
exponent	指数		7
export			4
exported			8
express			1
expression	式		185
expressionlist		訳さない	1
extend	拡張する		2
extended	拡張された		2
extent			2
extra			1
extract	抽出する		1
facility	施設、設備		1
factor			1
fail			14
failure			1
fall			1
feed			2
fewer			1
field			18
file			33
final			10
finally			1
find			1
finite	有限		1
first			1
first-in-first-out	先入先出法		1
fit			4
float			6
float32			4
float64			4
floating-point	浮動小数点		44
floatt			3
flow			3
fma			1
follow	下記の、次に続く、追従する		27
following	下記の、次に続く、追従する		35
forclause			2
forever			4
form	形式、形態、形作る		49
formal			1
format			2
former	前者		1
fraction	小数		1
fractional	小数の		7
full			6
